Date Start,Date End,Service,Usage Type,Blended Cost,Unblended Cost,Usage Quantity,Unit
2023-09-21,2023-09-22,Amazon Simple Notification Service,APS2-Requests-Tier1,0.00,,3.00,Requests
2023-09-21,2023-09-22,Amazon Simple Notification Service,CAN1-Requests-Tier1,0.00,,3.00,Requests
2023-09-21,2023-09-22,Amazon Simple Notification Service,DataTransfer-In-Bytes,0.00,,0.00,GB
2023-09-21,2023-09-22,Amazon Simple Notification Service,DataTransfer-Out-Bytes,0.00,,0.00,GB
2023-09-21,2023-09-22,Amazon Simple Notification Service,DeliveryAttempts-LAMBDA,0.00,,17.00,Notifications
2023-09-21,2023-09-22,Amazon Simple Notification Service,EU-Requests-Tier1,0.00,,3.00,Requests
2023-09-21,2023-09-22,Amazon Simple Notification Service,EUC1-Requests-Tier1,0.00,,3.00,Requests
2023-09-21,2023-09-22,Amazon Simple Notification Service,EUN1-Requests-Tier1,0.00,,3.00,Requests
2023-09-21,2023-09-22,Amazon Simple Notification Service,EUW2-Requests-Tier1,0.00,,3.00,Requests
2023-09-21,2023-09-22,Amazon Simple Notification Service,Requests-Tier1,0.00,,25.00,Requests
2023-09-21,2023-09-22,Amazon Simple Notification Service,USE2-Requests-Tier1,0.00,,3.00,Requests
2023-09-21,2023-09-22,Amazon Simple Notification Service,USW2-Requests-Tier1,0.00,,6.00,Requests
2023-09-21,2023-09-22,Amazon Simple Queue Service,APS1-Requests-Tier1,0.00,,1.00,Requests
2023-09-21,2023-09-22,Amazon Simple Queue Service,APS2-Requests-Tier1,0.00,,1.00,Requests
2023-09-21,2023-09-22,Amazon Simple Queue Service,CAN1-Requests-Tier1,0.00,,1.00,Requests
2023-09-21,2023-09-22,Amazon Simple Queue Service,EU-Requests-Tier1,0.00,,1.00,Requests
2023-09-21,2023-09-22,Amazon Simple Queue Service,EUC1-Requests-Tier1,0.00,,1.00,Requests
2023-09-21,2023-09-22,Amazon Simple Queue Service,EUN1-Requests-Tier1,0.00,,1.00,Requests
2023-09-21,2023-09-22,Amazon Simple Queue Service,EUW2-Requests-Tier1,0.00,,1.00,Requests
2023-09-21,2023-09-22,Amazon Simple Queue Service,Requests-RBP,0.00,,1.00,Requests
2023-09-21,2023-09-22,Amazon Simple Queue Service,USE2-Requests-Tier1,0.00,,1.00,Requests
2023-09-21,2023-09-22,Amazon Simple Queue Service,USW2-Requests-Tier1,0.00,,1.00,Requests
2023-09-21,2023-09-22,Amazon Simple Storage Service,Requests-Tier1,0.00,,70.00,Requests
2023-09-21,2023-09-22,Amazon Simple Storage Service,Requests-Tier2,0.00,,616.00,Requests
2023-09-21,2023-09-22,Amazon Simple Storage Service,TimedStorage-ByteHrs,0.00,,0.03,GB-Month
2023-09-21,2023-09-22,Amazon Simple Storage Service,USE1-APS1-AWS-Out-Bytes,0.00,,0.00,GB
2023-09-21,2023-09-22,Amazon Simple Storage Service,USE1-APS2-AWS-Out-Bytes,0.00,,0.00,GB
2023-09-21,2023-09-22,Amazon Simple Storage Service,USE1-CAN1-AWS-Out-Bytes,0.00,,0.00,GB
2023-09-21,2023-09-22,Amazon Simple Storage Service,USE1-EU-AWS-Out-Bytes,0.00,,0.00,GB
2023-09-21,2023-09-22,Amazon Simple Storage Service,USE1-EUC1-AWS-Out-Bytes,0.00,,0.00,GB
2023-09-21,2023-09-22,Amazon Simple Storage Service,USE1-EUN1-AWS-Out-Bytes,0.00,,0.00,GB
2023-09-21,2023-09-22,Amazon Simple Storage Service,USE1-EUW2-AWS-Out-Bytes,0.00,,0.00,GB
2023-09-21,2023-09-22,Amazon Simple Storage Service,USE1-USE2-AWS-Out-Bytes,0.00,,0.00,GB
2023-09-21,2023-09-22,Amazon Simple Storage Service,USE1-USW2-AWS-Out-Bytes,0.00,,0.00,GB
2023-09-21,2023-09-22,Amazon Virtual Private Cloud,USE1-DataTransfer-xAZ-In-Bytes,0.00,,0.00,GB
2023-09-21,2023-09-22,Amazon Virtual Private Cloud,USE1-DataTransfer-xAZ-Out-Bytes,0.00,,0.00,GB
2023-09-21,2023-09-22,Amazon Virtual Private Cloud,USE1-PublicIPv4:InUseAddress,0.00,,168.39,Hrs
2023-09-21,2023-09-22,Amazon Virtual Private Cloud,USE1-VpcEndpoint-Bytes,0.00,,0.00,GB
2023-09-21,2023-09-22,Amazon Virtual Private Cloud,USE1-VpcEndpoint-Hours,0.48,,48.00,Hrs
2023-09-21,2023-09-22,AmazonCloudWatch,CW:AlarmMonitorUsage,0.01,,0.13,Alarms
2023-09-21,2023-09-22,AmazonCloudWatch,USE1-DataProcessing-Bytes,0.04,,0.08,GB
2023-09-21,2023-09-22,AmazonCloudWatch,USE1-TimedStorage-ByteHrs,0.01,,0.20,GB-Month
2023-09-21,2023-09-22,AmazonCloudWatch,USW2-DataProcessing-Bytes,0.00,,0.00,GB
2023-09-21,2023-09-22,AmazonCloudWatch,USW2-TimedStorage-ByteHrs,0.00,,0.00,GB-Month
2023-09-21,2023-09-22,CloudWatch Events,USE1-Event-64K-Chunks,0.00,,64.00,64K-Chunks
2023-09-21,2023-09-22,CodeBuild,USE1-Build-Min:Linux:g1.small,0.01,,2.00,Minutes
2023-09-22,2023-09-23,AWS CloudTrail,APN1-FreeEventsRecorded,0.00,,32.00,Events
2023-09-22,2023-09-23,AWS CloudTrail,APN2-FreeEventsRecorded,0.00,,32.00,Events
2023-09-22,2023-09-23,AWS CloudTrail,APN3-FreeEventsRecorded,0.00,,32.00,Events
2023-09-22,2023-09-23,AWS CloudTrail,APS1-FreeEventsRecorded,0.00,,612.00,Events
2023-09-22,2023-09-23,AWS CloudTrail,APS2-FreeEventsRecorded,0.00,,622.00,Events
2023-09-22,2023-09-23,AWS CloudTrail,APS3-FreeEventsRecorded,0.00,,32.00,Events
2023-09-22,2023-09-23,AWS CloudTrail,CAN1-FreeEventsRecorded,0.00,,564.00,Events
2023-09-22,2023-09-23,AWS CloudTrail,EU-FreeEventsRecorded,0.00,,644.00,Events
